id,account_id,phone_number,device_id,device_os,nik,activity_id,activity_lat,activity_lon,activity_date,activity_type,activity_type_name,activity_channel,ip,country,activity_status,accopen1m,accopen10m,accopen1h,accopen1d
81,10110669030,213,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,android,25443322,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,-98.8375,-6.93649,2022-07-05T17:54:22.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
11,10110658844,130,bb1f22ef-052f-46c2-a17f-dbb7137967a7,android,25443322,bb1f22ef-052f-46c2-a17f-dbb7137967a7,-98.8375,-6.93649,2022-11-30T04:51:51.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,2,2,2,3
100,10110669030,125,d0d4aaa7-1da0-4275-a99c-d8e99ed823d11,android,25443322,d0d4aaa7-1da0-4275-a99c-d8e99ed823d11,-98.8375,-6.93649,2022-09-01T14:15:13.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,2,2,4
36,10110663716,167,40e369e8-0b81-4b20-9607-ac5ce102e95d,android,25443322,40e369e8-0b81-4b20-9607-ac5ce102e95d,-98.8375,-6.93649,2022-11-29T09:31:19.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,5
82,10110669030,208,f81bc473-1ac9-4ef6-9668-b13bcc9de921,android,25443322,f81bc473-1ac9-4ef6-9668-b13bcc9de921,-98.8375,-6.93649,2022-07-11T17:07:46.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
34,10110663716,221,4e81a600-3583-4002-bd30-f79758b4fefd,android,25443322,4e81a600-3583-4002-bd30-f79758b4fefd,-98.8375,-6.93649,2022-11-29T07:37:09.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,3
30,10110663422,148,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,android,25443322,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,-98.8375,-6.93649,2022-11-28T09:32:55.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,2,2
18,10110661276,194,27484943-0b9e-403f-8403-033e836bec59,android,25443322,27484943-0b9e-403f-8403-033e836bec59,-98.8375,-6.93649,2022-12-15T13:39:30.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,2,2
52,10110663716,158,b52efd0e-20e9-4db0-bdaf-0917520ac927,android,25443322,b52efd0e-20e9-4db0-bdaf-0917520ac927,-98.8375,-6.93649,2022-12-13T08:33:08.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,3
54,10110663716,159,4e81a600-3583-4002-bd30-f79758b4fefd,android,25443322,4e81a600-3583-4002-bd30-f79758b4fefd,-98.8375,-6.93649,2022-12-13T17:53:04.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,3
50,10110663716,186,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,android,25443322,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,-98.8375,-6.93649,2022-12-12T08:22:39.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
69,10110666545,174,42c5b209-59cb-46f2-8843-0295924a7e53,android,25443322,42c5b209-59cb-46f2-8843-0295924a7e53,-98.8375,-6.93649,2022-08-01T08:36:09.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
44,10110663716,190,34ce2142-b6d4-48bb-890d-d3847cbc245e,android,25443322,34ce2142-b6d4-48bb-890d-d3847cbc245e,-98.8375,-6.93649,2022-12-05T17:07:01.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,4
51,10110663716,198,bb1f22ef-052f-46c2-a17f-dbb7137967a8,android,25443322,bb1f22ef-052f-46c2-a17f-dbb7137967a8,-98.8375,-6.93649,2022-12-12T09:56:16.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,2
59,10110663716,131,0d2d7b46-e353-4b61-9266-d40966342afe,android,25443322,0d2d7b46-e353-4b61-9266-d40966342afe,-98.8375,-6.93649,2022-12-21T11:39:01.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
17,10110661276,133,06c79ad6-ef3c-444b-ad88-81debe92ab1e,android,25443322,06c79ad6-ef3c-444b-ad88-81debe92ab1e,-98.8375,-6.93649,2022-12-15T13:26:44.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
23,10110662710,203,bac1a35d-b062-4db7-9866-896c0a03e6e1,android,25443322,bac1a35d-b062-4db7-9866-896c0a03e6e1,-98.8375,-6.93649,2022-12-07T15:53:00.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
75,10110667134,154,bedfab3e-1638-4900-b54a-c09545bd30ec,android,25443322,bedfab3e-1638-4900-b54a-c09545bd30ec,-98.8375,-6.93649,2022-11-22T15:31:02.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
83,10110669030,144,bac1a35d-b062-4db7-9866-896c0a03e6e3,android,25443322,bac1a35d-b062-4db7-9866-896c0a03e6e3,-98.8375,-6.93649,2022-07-12T00:57:10.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,2
73,10110667134,157,310178c0-ec95-4edb-9a81-912c805f0465,android,25443322,310178c0-ec95-4edb-9a81-912c805f0465,-98.8375,-6.93649,2022-11-21T00:57:43.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
4,10110658755,126,34ce2142-b6d4-48bb-890d-d3847cbc245e,android,25443322,34ce2142-b6d4-48bb-890d-d3847cbc245e,-98.8375,-6.93649,2022-12-30T20:29:44.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,2,4,4,4
65,10110666545,134,6f0ddadf-d44f-4b54-acb9-12c22c15bab9,android,25443322,6f0ddadf-d44f-4b54-acb9-12c22c15bab9,-98.8375,-6.93649,2022-07-22T19:51:13.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
71,10110666910,141,bb1f22ef-052f-46c2-a17f-dbb7137967a8,android,25443322,bb1f22ef-052f-46c2-a17f-dbb7137967a8,-98.8375,-6.93649,2022-11-28T22:01:55.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,2
88,10110669030,171,67e711a9-75d0-478a-9a98-f27940349b69,android,25443322,67e711a9-75d0-478a-9a98-f27940349b69,-98.8375,-6.93649,2022-08-04T02:14:11.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
74,10110667134,129,4e81a600-3583-4002-bd30-f79758b4fefd,android,25443322,4e81a600-3583-4002-bd30-f79758b4fefd,-98.8375,-6.93649,2022-11-21T00:59:40.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,2,2,2
35,10110663716,199,bedfab3e-1638-4900-b54a-c09545bd30ec,android,25443322,bedfab3e-1638-4900-b54a-c09545bd30ec,-98.8375,-6.93649,2022-11-29T07:42:04.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,2,2,4
32,10110663716,175,b52efd0e-20e9-4db0-bdaf-0917520ac926,android,25443322,b52efd0e-20e9-4db0-bdaf-0917520ac926,-98.8375,-6.93649,2022-11-28T17:21:37.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
43,10110663716,204,bac1a35d-b062-4db7-9866-896c0a03e6e2,android,25443322,bac1a35d-b062-4db7-9866-896c0a03e6e2,-98.8375,-6.93649,2022-12-05T16:06:38.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,2,3
63,10110663724,177,bac1a35d-b062-4db7-9866-896c0a03e6e2,android,25443322,bac1a35d-b062-4db7-9866-896c0a03e6e2,-98.8375,-6.93649,2022-10-28T20:31:56.000+07:00,11001,Activation/Reactivation,mobile,6.88736,Indonesia,51,1,1,1,1
