id,account_id,account_bank,account_type,account_status,account_balance,account_country,account_lat,account_lon,transaction_id,transaction_amount,transaction_date,transaction_time,transaction_type,transaction_type_name,transaction_category,transaction_channel,transaction_limit,terminal_id,terminal_network,dest_account_id,dest_bank,dest_account_type,dest_account_status,dest_account_balance,dest_account_country,ip,country,transaction_status,ppn_dttm,card_number,card_limit,card_type,limit_gabungan
1,1,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000,2022-12-30 20:27:13,20:27:13,11001,Transfer External IBFT,Transfer,Mobile Banking,10000000,1,117,101,BRI,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
2,1,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,f81bc473-1ac9-4ef6-9668-b13bcc9de919,100000,2022-12-30 20:27:22,20:27:22,11001,Transfer External IBFT,Transfer,Mobile Banking,10000000,1,117,102,BRI,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
3,1,Sumut,Tabungan,Active,2000000,Indonesia,-98.8375,-6.93649,bac1a35d-b062-4db7-9866-896c0a03e6e1,1000000,2022-12-30 20:27:45,20:27:45,11001,Transfer External IBFT,Transfer,Mobile Banking,10000000,1,117,103,BRI,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
4,1,Sumut,Tabungan,Active,500000,Indonesia,-98.8375,-6.93649,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000,2022-12-30 20:28:10,20:28:10,11001,Transfer External IBFT,Transfer,Mobile Banking,10000000,1,117,104,BRI,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
5,5,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,140000,2022-12-30 20:30:52,20:30:52,409900,Transfer Internal,Transfer,Mobile Banking,10000000,4,417,105,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
6,6,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,f6fc4e5c-98ee-46a4-8a30-75838584dd72,750000,2022-12-30 20:32:25,20:32:25,409900,Transfer Internal,Transfer,Mobile Banking,10000000,4,417,106,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
7,7,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,250000,2022-12-30 20:33:03,20:33:03,409900,Transfer Internal,Transfer,Mobile Banking,10000000,4,417,107,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
8,8,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,67e711a9-75d0-478a-9a98-f27940349b67,400000,2022-12-30 20:33:50,20:33:50,409900,Transfer Internal,Transfer,Mobile Banking,10000000,4,417,108,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
9,9,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,42c5b209-59cb-46f2-8843-0295924a7e52,1000000,2022-11-30 19:34:49,19:34:49,409900,Transfer Internal,Transfer,Mobile Banking,10000000,2,217,109,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
10,10,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000,2022-11-30 19:51:01,19:51:01,409900,Transfer Internal,Transfer,Mobile Banking,10000000,3,317,110,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
11,10,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,bb1f22ef-052f-46c2-a17f-dbb7137967a7,400000,2022-11-30 19:51:35,19:51:35,409900,Transfer Internal,Transfer,Mobile Banking,10000000,2,217,111,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
12,10,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,b52efd0e-20e9-4db0-bdaf-0917520ac926,130000,2022-11-30 19:51:55,19:51:55,409900,Transfer Internal,Transfer,Mobile Banking,10000000,1,117,112,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
